# H0	ombh2	omch2	tau	As	ns	chisq
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.803420513448578788e+01 2.237743923355024409e-02 1.186244198528842025e-01 3.943253567852091773e-02 2.025133583124509162e-09 9.756970476667904402e-01 2.582503297255971574e+03
6.781450887611526923e+01 2.249671770091306311e-02 1.194151954928247827e-01 2.638255506381198198e-02 1.979912741115686988e-09 9.710855034962201371e-01 2.582688867531976939e+03
6.781450887611526923e+01 2.249671770091306311e-02 1.194151954928247827e-01 2.638255506381198198e-02 1.979912741115686988e-09 9.710855034962201371e-01 2.582688867531976939e+03
6.781450887611526923e+01 2.249671770091306311e-02 1.194151954928247827e-01 2.638255506381198198e-02 1.979912741115686988e-09 9.710855034962201371e-01 2.582688867531976939e+03
6.874815598189060495e+01 2.252683137170955266e-02 1.168179740880900402e-01 3.169627502311908596e-02 1.993807538333207456e-09 9.750034747847273753e-01 2.583127977494870265e+03
6.874815598189060495e+01 2.252683137170955266e-02 1.168179740880900402e-01 3.169627502311908596e-02 1.993807538333207456e-09 9.750034747847273753e-01 2.583127977494870265e+03
6.795332135944032359e+01 2.245734682181955641e-02 1.185848099646188425e-01 3.701992569568132024e-02 2.025527615164024083e-09 9.702304909996285476e-01 2.582857903907563468e+03
